jp_philosopher,jp_work,jp_chars,sep_slug,sep_chars,similarity
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,ayer,83888,0.6596
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,ayn-rand,108332,0.6915
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,baudrillard,92850,0.6182
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bauer,65261,0.5452
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bayle,71814,0.5643
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,beauvoir,130158,0.5612
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,benjamin,132946,0.6218
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bentham,119009,0.5237
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bergson,75781,0.7028
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,berkeley,66222,0.7823
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,berlin,129531,0.6515
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bessarion,40178,0.3643
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bloch,70253,0.6508
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bodin,124284,0.3752
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,boethius,62682,0.6854
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,boethius-dacia,54051,0.6932
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bolzano,155132,0.6108
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bonaventure,109175,0.7191
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,boole,88621,0.3581
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bosanquet,96950,0.6008
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,boyle,111911,0.7447
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bradley,67270,0.7308
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,brentano,87726,0.674
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,broad,78488,0.8235
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,brouwer,44368,0.4276
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,bruno,145683,0.6421
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,buber,66928,0.5254
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,buddha,50785,0.764
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,buridan,87906,0.6935
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,burke,90308,0.6112
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,burley,115565,0.737
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,campanella,82531,0.6264
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,camus,80128,0.6418
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,cardano,83556,0.7394
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,carnap,210237,0.5822
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,carneades,47385,0.694
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,cassirer,60498,0.7165
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,catharine-macaulay,75941,0.5051
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,chisholm,111067,0.7403
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,church,149178,0.6024
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,cicero,83024,0.68
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,clarke,92724,0.6785
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,cockburn,21972,0.6214
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,cohen,95490,0.6605
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,collingwood,122058,0.7131
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,collins,147634,0.6648
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,comte,1828,0.466
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,condillac,96062,0.8021
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,confucius,73300,0.5547
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,consequence-medieval,87811,0.6204
